wl	n
3.7463	1.56068
3.7572	1.56050
3.7681	1.56048
3.7791	1.56028
3.7901	1.56018
3.8013	1.56034
3.8124	1.56015
3.8237	1.55957
3.8350	1.55941
3.8464	1.55970
3.8578	1.55988
3.8693	1.55972
3.8809	1.55938
3.8926	1.55896
3.9043	1.55875
3.9161	1.55887
3.9280	1.55887
3.9399	1.55866
3.9519	1.55855
3.9640	1.55858
3.9762	1.55843
3.9884	1.55839
4.0007	1.55857
4.0131	1.55861
4.0255	1.55840
4.0381	1.55822
4.0507	1.55804
4.0634	1.55792
4.0762	1.55779
4.0890	1.55757
4.1020	1.55727
4.1150	1.55716
4.1281	1.55718
4.1413	1.55739
4.1546	1.55747
4.1679	1.55724
4.1814	1.55699
4.1949	1.55713
4.2085	1.55751
4.2222	1.55757
4.2360	1.55669
4.2499	1.55643
4.2639	1.55646
4.2780	1.55630
4.2921	1.55709
4.3064	1.55771
4.3208	1.55718
4.3352	1.55666
4.3498	1.55664
4.3644	1.55657
4.3791	1.55643
4.3940	1.55627
4.4089	1.55631
4.4240	1.55644
4.4391	1.55643
4.4544	1.55641
4.4697	1.55634
4.4852	1.55621
4.5008	1.55614
4.5165	1.55585
4.5323	1.55561
4.5482	1.55570
4.5642	1.55575
4.5803	1.55531
4.5965	1.55514
4.6129	1.55533
4.6294	1.55535
4.6460	1.55495
4.6627	1.55465
4.6795	1.55464
4.6965	1.55475
4.7136	1.55470
4.7308	1.55428
4.7481	1.55408
4.7655	1.55416
4.7831	1.55415
4.8008	1.55417
4.8187	1.55420
4.8367	1.55417
4.8548	1.55410
4.8730	1.55375
4.8914	1.55330
4.9100	1.55332
4.9286	1.55334
4.9474	1.55310
4.9664	1.55286
4.9855	1.55265
5.0047	1.55226
5.0241	1.55203
5.0437	1.55185
5.0634	1.55126
5.0832	1.55079
5.1033	1.55096
5.1234	1.55143
5.1438	1.55238
5.1643	1.55309
5.1849	1.55309
5.2057	1.55291
5.2267	1.55242
5.2479	1.55154
5.2692	1.55087
5.2907	1.55092
5.3124	1.55125
5.3343	1.55189
5.3563	1.55271
5.3785	1.55289
5.4009	1.55242
5.4235	1.55176
5.4463	1.55092
5.4693	1.54993
5.4925	1.54945
5.5159	1.55002
5.5394	1.55082
5.5632	1.55129
5.5872	1.55144
5.6114	1.55129
5.6358	1.55042
5.6604	1.54767
5.6852	1.54548
5.7103	1.54690
5.7355	1.55012
5.7610	1.55263
5.7867	1.55358
5.8127	1.55303
5.8389	1.55243
5.8653	1.55166
5.8919	1.55034
5.9188	1.54980
5.9460	1.54978
5.9734	1.54902
6.0011	1.54853
6.0290	1.54880
6.0571	1.54830
6.0856	1.54720
6.1143	1.54587
6.1433	1.54460
6.1725	1.54228
6.2020	1.53801
6.2319	1.54106
6.2620	1.55100
6.2924	1.55443
6.3231	1.55355
6.3541	1.55229
6.3854	1.54999
6.4170	1.54766
6.4489	1.54569
6.4811	1.54468
6.5137	1.54380
6.5466	1.54200
6.5798	1.53885
6.6134	1.53305
6.6473	1.52191
6.6816	1.53047
6.7162	1.55656
6.7512	1.56128
6.7865	1.54797
6.8223	1.53477
6.8583	1.53216
6.8948	1.55525
6.9317	1.57473
6.9690	1.57327
7.0066	1.56564
7.0447	1.56021
7.0832	1.55686
7.1221	1.55434
7.1615	1.55165
7.2013	1.54919
7.2415	1.54836
7.2822	1.54989
7.3233	1.55292
7.3649	1.55430
7.4070	1.55372
7.4496	1.55275
7.4926	1.55139
7.5362	1.55114
7.5803	1.55236
7.6249	1.55343
7.6700	1.55343
7.7156	1.55233
7.7618	1.55192
7.8086	1.55172
7.8559	1.54956
7.9038	1.54608
7.9523	1.54331
8.0014	1.54200
8.0511	1.54343
8.1014	1.54802
8.1524	1.55321
8.2040	1.55586
8.2562	1.55640
8.3091	1.55559
8.3628	1.55301
8.4171	1.55099
8.4721	1.55104
8.5278	1.55150
8.5843	1.54998
8.6415	1.54990
8.6995	1.55147
8.7583	1.55161
8.8179	1.55022
8.8783	1.54766
8.9395	1.54586
9.0016	1.54482
9.0645	1.54190
9.1284	1.53896
9.1931	1.53765
9.2588	1.53795
9.3254	1.54121
9.3930	1.54636
9.4615	1.55001
9.5311	1.55209
9.6017	1.55102
9.6733	1.55269
9.7461	1.56222
9.8199	1.56781
9.8949	1.56524
9.9710	1.56224
10.048	1.55968
10.127	1.55747
10.207	1.55574
10.288	1.55526
10.370	1.55465
10.453	1.55306
10.538	1.55192
10.625	1.55098
10.713	1.54956
10.802	1.54717
10.893	1.54469
10.985	1.54702
11.079	1.55262
11.174	1.55390
11.272	1.55142
11.370	1.54911
11.471	1.54510
11.573	1.54091
11.678	1.53725
11.784	1.53594
11.892	1.53690
12.002	1.53612
12.114	1.53241
12.229	1.52903
12.345	1.52404
12.464	1.51713
12.585	1.50745
12.708	1.49456
12.834	1.48175
12.962	1.47675
13.093	1.49226
13.227	1.52708
13.363	1.56176
13.502	1.57437
13.645	1.55760
13.790	1.52389
13.938	1.46750
14.089	1.40602
14.244	1.51292
14.403	1.72776
14.564	1.75952
14.730	1.67295
14.899	1.64037
15.072	1.62211
15.250	1.61111
15.431	1.60119
15.617	1.59346
15.808	1.58726
16.003	1.58261
16.203	1.58041
16.408	1.57934
16.618	1.57655
16.834	1.57118
17.056	1.56573
17.283	1.56074
17.517	1.55877
17.757	1.55947
18.003	1.56334
18.257	1.57361
18.518	1.59413
18.786	1.61088
19.062	1.61181
19.347	1.60843
19.640	1.60549
19.942	1.59856

wl	k
0.40	8.13E-07
0.41	7.28E-07
0.42	6.82E-07
0.43	6.70E-07
0.44	6.50E-07
0.45	6.33E-07
0.46	6.12E-07
0.47	6.02E-07
0.48	6.09E-07
0.49	6.25E-07
0.50	6.11E-07
0.51	6.12E-07
0.52	5.72E-07
0.53	5.62E-07
0.54	5.70E-07
0.55	5.78E-07
0.56	6.07E-07
0.57	5.86E-07
0.58	5.95E-07
0.59	5.83E-07
0.60	6.36E-07
0.61	6.31E-07
0.62	5.93E-07
0.63	6.14E-07
0.64	6.27E-07
0.65	5.83E-07
0.66	5.86E-07
0.67	5.73E-07
0.68	5.64E-07
0.69	5.82E-07
0.70	5.64E-07
0.71	6.02E-07
0.72	5.55E-07
0.73	5.76E-07
0.74	5.67E-07
0.75	5.51E-07
0.76	5.98E-07
0.77	6.08E-07
0.78	5.46E-07
0.79	5.45E-07
0.80	5.54E-07
0.81	5.55E-07
0.82	4.48E-07
0.83	4.21E-07
0.84	5.34E-07
0.85	5.11E-07
0.86	5.29E-07
0.87	1.22E-06
0.88	9.11E-07
0.89	8.20E-07
0.90	5.35E-07
0.91	4.93E-07
0.92	3.93E-07
0.93	2.85E-07
0.94	8.16E-07
0.95	4.00E-07
0.96	4.71E-07
0.97	2.04E-07
0.98	2.34E-07
0.99	4.34E-07
1.00	3.49E-07
1.01	7.34E-07
1.02	7.39E-07
1.03	1.01E-06
1.04	9.61E-07
1.05	9.82E-07
1.06	9.36E-07
1.07	9.04E-07
1.08	8.95E-07
1.09	1.25E-06
1.10	1.10E-06
1.11	1.35E-06
1.12	1.88E-06
1.13	4.12E-06
1.14	1.13E-05
1.15	1.14E-05
1.16	4.52E-06
1.17	2.96E-06
1.18	2.45E-06
1.19	3.44E-06
1.20	4.60E-06
1.21	5.24E-06
1.22	4.03E-06
1.23	2.79E-06
1.24	2.06E-06
1.25	1.68E-06
1.26	1.66E-06
1.27	1.88E-06
1.28	1.27E-06
1.29	1.27E-06
1.30	1.51E-06
1.31	1.43E-06
1.32	1.57E-06
1.33	1.74E-06
1.34	2.03E-06
1.35	2.28E-06
